Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6	Sensor7	Sensor8	CO	C6H6	NOx	NO2
965	749	1325	1333	821	8.2	63.4	0.6905	1.5	4.7	94	85
913	629	1565	1252	552	8.2	60.8	0.6657	1	2.6	47	53
1080	805	1254	1375	816	8.3	58.5	0.6438	1.7	5.9	122	97
1044	829	1247	1378	832	7.7	59.7	0.6308	1.9	6.4	133	110
988	718	1396	1304	692	7.1	61.8	0.6276	1.4	4.1	82	91
847	501	1895	1155	394	6.3	65.0	0.6233	0.6	1.0	30	44
927	571	1685	1223	487	6.8	62.9	0.6234	1	1.8	56	71
1091	730	1387	1361	748	6.4	65.1	0.6316	1.4	4.4	109	104
1587	1236	897	1900	1400	7.3	63.1	0.6499	4.4	17.9	307	141
1350	1118	912	1712	1237	13.2	41.7	0.6320	3.1	14.0	187	122
1263	1037	969	1598	1167	14.3	38.4	0.6243	2.7	11.6	216	143
1206	986	1035	1537	959	15.0	36.5	0.6195	2.1	10.2	143	113
1252	1016	1008	1593	983	16.1	34.5	0.6262	2.5	11.0	160	116
1287	1078	949	1660	1061	16.3	35.7	0.6560	2.7	12.8	163	123
1353	1122	922	1740	1139	15.8	37.0	0.6610	2.9	14.2	190	126
1309	1073	954	1657	1112	15.9	37.2	0.6657	2.8	12.7	178	120
1274	1041	1006	1610	994	16.9	34.3	0.6549	2.4	11.7	150	119
1510	1277	812	1910	1410	15.1	39.6	0.6766	3.9	19.3	206	149
1525	1246	821	1847	1448	14.4	43.4	0.7084	3.7	18.2	202	145
1843	1610	624	2390	1887	12.9	50.5	0.7478	6.6	32.6	340	170
1598	1299	752	1941	1627	12.1	53.3	0.7536	4.4	20.1	274	149
1484	1127	839	1723	1491	11.0	59.1	0.7740	3.5	14.3	253	139
1677	1346	741	2062	1657	9.7	64.6	0.7771	5.4	21.8	300	134
1280	964	963	1544	1285	9.5	64.1	0.7597	2.7	9.6	193	113
1196	873	1071	1463	1144	9.1	63.9	0.7423	1.9	7.4	139	97
1184	782	1176	1365	1043	8.8	63.9	0.7256	1.6	5.4	83	82
978	625	1420	1274	819	8.3	63.6	0.6982	1	2.6	62	65
1100	646	1406	1268	835	7.2	67.5	0.6887	1.2	2.9	53	60
1112	770	1228	1409	940	6.3	71.9	0.6932	1.5	5.1	139	77
1336	1043	935	1678	1192	6.5	71.6	0.6945	2.7	11.8	256	96
1408	1153	830	1777	1411	9.6	59.7	0.7124	3.7	15.1	295	119
1447	1081	869	1667	1465	12.4	51.2	0.7335	3.2	12.9	250	126
1542	1184	808	1780	1583	15.6	42.2	0.7451	4.1	16.1	296	158
1451	1117	875	1679	1387	18.4	33.8	0.7090	3.6	14.0	239	161
1328	1059	987	1600	1101	19.4	31.3	0.6950	2.8	12.3	153	124
1207	924	1088	1488	850	18.0	34.8	0.7127	2	8.6	118	102
1240	947	1049	1532	947	18.4	33.6	0.7042	2	9.2	119	116
1306	987	1004	1554	1078	17.6	35.1	0.7012	2.5	10.2	138	124
1326	1000	976	1602	1084	16.7	37.8	0.7117	2.3	10.6	148	125
1473	1163	831	1779	1395	16.1	41.0	0.7451	3.2	15.5	227	148
1609	1286	758	1922	1612	15.8	42.4	0.7569	4.2	19.6	277	165
1611	1274	754	1915	1697	15.7	44.1	0.7786	4.2	19.2	279	161
1621	1247	762	1860	1886	15.3	46.8	0.8091	4.2	18.3	283	159
1444	1089	844	1748	1624	14.6	48.6	0.8060	3.1	13.1	214	143
1418	1010	892	1603	1536	14.7	49.3	0.8193	2.6	10.9	172	130
1534	1013	889	1611	1535	13.9	53.6	0.8498	2.9	11.0	190	129
1484	1045	880	1624	1530	14.6	51.5	0.8536	2.8	11.9	174	119
1367	925	953	1543	1337	12.5	58.9	0.8537	2.5	8.6	128	104
1062	691	1272	1377	929	11.5	63.1	0.8533	1.2	3.7	53	70
1076	618	1395	1333	872	11.6	62.2	0.8473	1	2.5	44	63
1028	615	1384	1340	853	10.4	67.6	0.8530	0.9	2.4	74	67
1155	722	1225	1414	959	11.6	62.7	0.8530	1.4	4.2	101	84
1235	828	1055	1527	1093	12.4	60.0	0.8627	1.6	6.4	118	83
1332	923	952	1614	1225	14.5	53.1	0.8728	2.2	8.6	144	98
1445	1009	878	1696	1355	16.9	46.1	0.8789	2.8	10.9	176	114
1416	1002	907	1677	1262	19.3	38.3	0.8474	2.8	10.7	161	119
1281	880	1084	1525	980	21.2	31.4	0.7812	2	7.5	113	104
1207	879	1104	1490	872	21.4	30.2	0.7616	1.8	7.5	103	102
1258	906	1081	1511	900	21.9	29.0	0.7525	1.9	8.2	112	107
1458	1045	974	1646	1099	22.2	28.4	0.7516	3	11.9	170	129
1438	1051	943	1668	1206	21.3	30.8	0.7696	2.9	12.0	180	128
1478	1055	929	1671	1262	19.7	36.7	0.8307	2.5	12.2	160	121
1808	1312	753	1993	1698	18.4	41.7	0.8732	4.6	20.6	261	157
1898	1381	681	2103	1905	17.6	46.1	0.9210	5.9	23.1	325	173
1560	1140	784	1818	1648	16.7	49.6	0.9320	3.4	14.7	217	146
1324	940	924	1587	1423	16.3	51.0	0.9341	2.1	9.0	146	121
1349	933	933	1617	1349	14.7	55.9	0.9314	2.2	8.8	152	119
1239	872	985	1547	1250	14.8	54.7	0.9164	1.8	7.4	104	99
1239	853	1010	1543	1174	14.0	57.0	0.9094	1.8	6.9	106	93
1224	855	998	1566	1149	13.4	61.3	0.9361	1.8	7.0	108	88
1075	703	1156	1464	1010	11.9	67.4	0.9375	1	3.9	88	74
1157	830	1030	1584	1083	11.4	70.5	0.9475	1.4	6.4	138	80
1314	966	897	1710	1235	11.3	70.2	0.9401	2.2	9.7	228	89
1797	1451	652	2323	1680	12.4	63.9	0.9170	5.5	25.9	360	114
1961	1701	537	2665	2184	14.8	54.3	0.9076	8.1	36.7	478	149
1771	1470	622	2262	1973	17.4	45.6	0.8993	5.8	26.6	394	157
1564	1300	710	2029	1798	19.8	38.5	0.8801	4.2	20.1	319	155
1430	1120	831	1783	1522	22.0	34.1	0.8904	3.1	14.1	201	134
1417	1146	830	1831	1404	23.3	32.2	0.9096	2.9	14.9	171	119
1400	1162	838	1829	1263	23.9	30.0	0.8757	2.9	15.4	159	111
1317	1053	926	1707	1137	24.4	28.9	0.8736	2.5	12.1	153	104
1318	1033	950	1675	1068	24.4	29.4	0.8848	2.3	11.5	143	99
1445	1141	857	1824	1252	23.8	31.3	0.9137	2.8	14.8	156	110
1917	1601	631	2447	1843	22.5	35.4	0.9547	6.1	32.1	314	162
2040	1754	542	2679	2122	20.4	42.5	1.0086	8	39.2	404	187
1895	1573	565	2443	1992	18.3	52.6	1.0945	6.5	31.0	320	165
1595	1294	678	2058	1707	16.7	57.4	1.0786	4.2	19.9	256	145
1439	1159	764	1856	1494	15.7	60.2	1.0654	3.2	15.3	193	125
1142	852	1008	1547	1164	15.3	61.4	1.0580	1.4	6.9	89	101
1304	1019	852	1731	1272	14.1	65.7	1.0494	2.1	11.1	127	103
1074	784	1098	1483	1040	14.8	60.6	1.0148	1.2	5.4	79	88
968	640	1320	1386	867	14.8	59.2	0.9879	0.8	2.8	43	61
937	585	1412	1348	793	12.8	63.2	0.9283	0.6	2.0	38	52
1017	681	1246	1418	870	11.2	68.5	0.9081	0.9	3.5	82	64
1171	770	1162	1467	930	11.0	66.5	0.8705	1.3	5.1	99	70
1541	1185	770	1889	1407	11.7	63.7	0.8719	3.4	16.2	263	97
1539	1287	698	2055	1507	13.6	56.3	0.8743	3.7	19.7	229	95
1735	1431	628	2211	1843	17.8	42.9	0.8672	5.3	25.1	396	150
1571	1297	730	1973	1729	21.4	33.3	0.8417	4.1	20.0	314	162
1452	1250	776	1868	1583	24.4	27.4	0.8231	3.3	18.3	217	154
1579	1359	724	1998	1671	25.3	26.1	0.8264	4	22.3	252	161
1466	1309	773	1897	1491	25.8	23.2	0.7589	3.8	20.4	263	161
1280	1136	893	1675	1240	27.0	20.2	0.7094	2.8	14.6	180	128
1407	1197	905	1759	1313	28.2	18.6	0.7014	2.9	16.6	184	129
1389	1173	898	1739	1363	28.0	19.1	0.7098	2.9	15.8	190	133
1447	1235	859	1778	1296	23.9	25.7	0.7519	3.4	17.8	184	139
1551	1271	800	1875	1432	21.3	34.8	0.8730	3.9	19.1	181	137
1474	1173	854	1776	1432	20.4	36.7	0.8704	3.2	15.8	166	143
1800	1426	700	2106	2034	19.0	41.3	0.9007	5.1	24.9	317	177
1379	1101	818	1710	1602	17.9	45.9	0.9342	2.6	13.5	184	138
1201	943	935	1560	1362	16.7	48.9	0.9226	1.7	9.1	130	117
1205	925	922	1547	1314	15.5	52.9	0.9271	1.7	8.6	132	107
1072	784	1066	1442	1114	15.5	51.9	0.9059	1.2	5.4	95	90
998	714	1169	1383	992	14.1	55.6	0.8910	0.9	4.1	70	79
869	554	1460	1268	667	11.8	58.0	0.8026	0.5	1.6	28	40
891	576	1417	1289	733	11.9	57.4	0.7978	0.5	1.9	46	53
1173	878	1038	1556	1052	9.9	65.2	0.7956	1.6	7.5	160	84
1587	1334	702	1999	1534	11.1	60.2	0.7958	4.1	21.4	320	108
1852	1696	553	2535	1931	14.1	50.0	0.8020	6.6	36.4	377	127
1522	1331	703	2026	1734	17.7	40.1	0.8048	4.3	21.3	280	134
1438	1161	819	1782	1595	21.1	33.4	0.8265	2.9	15.4	221	135
1393	1067	905	1654	1490	24.3	28.3	0.8471	2.5	12.5	210	142
1452	1152	861	1747	1508	25.6	25.6	0.8254	2.8	15.1	204	153
1389	1108	887	1712	1334	25.9	25.9	0.8503	2.6	13.7	161	123
1207	994	1013	1520	1045	26.8	18.7	0.6500	2	10.4	135	104
1365	1154	940	1679	1221	29.3	15.8	0.6309	2.9	15.2	186	129
1247	1060	1032	1525	1069	28.5	14.9	0.5708	2.5	12.3	147	114
1557	1478	793	1981	1569	25.9	16.0	0.5237	5	27.0	299	158
1973	1737	617	2414	2306	23.1	26.5	0.7403	7.6	38.4	411	194
1975	1667	597	2416	2359	20.5	38.2	0.9133	6.7	35.1	347	182
1795	1485	653	2174	2050	19.1	42.6	0.9294	5.7	27.2	336	180
1444	1150	770	1727	1727	17.2	44.1	0.8558	2.8	15.0	202	136
1488	1171	731	1778	1705	16.0	50.9	0.9206	2.6	15.7	178	127
1371	1083	796	1669	1551	14.8	53.9	0.9024	2.3	13.0	154	116
1161	904	947	1502	1240	14.3	55.4	0.8975	1.4	8.1	92	107
1064	787	1057	1407	1115	14.8	52.1	0.8686	1	5.5	61	88
931	623	1293	1307	828	12.0	58.9	0.8233	0.6	2.5	37	57
938	650	1251	1333	893	10.9	62.1	0.8113	0.7	3.0	68	71
1166	885	1005	1551	1075	10.6	63.3	0.8067	1.5	7.7	139	85
1643	1384	667	2094	1610	11.5	60.0	0.8117	4.7	23.3	339	124
1934	1682	541	2468	2051	14.3	50.6	0.8186	6.6	35.8	421	151
1617	1333	686	2010	1819	17.8	40.5	0.8210	4.5	21.3	349	150
1473	1127	831	1752	1568	20.8	34.4	0.8365	2.8	14.3	224	152
1379	1068	899	1663	1374	23.8	28.2	0.8219	2.2	12.5	171	139
1385	1056	891	1648	1268	24.2	28.7	0.8515	2.2	12.2	149	133
1379	1087	901	1660	1144	25.2	24.9	0.7829	2.3	13.1	137	126
1322	1129	934	1639	1109	27.0	17.8	0.6275	2.2	14.4	149	128
1496	1205	822	1767	1347	27.1	23.1	0.8180	2.8	16.8	172	169
1409	1131	873	1689	1206	25.8	23.9	0.7832	2.7	14.5	166	149
1513	1338	764	1957	1397	23.0	26.8	0.7446	3.7	21.5	214	156
1667	1464	683	2118	1588	20.7	31.1	0.7523	5.1	26.4	280	168
1667	1453	684	2051	1569	18.6	36.2	0.7676	5.1	26.0	276	176
1430	1121	814	1732	1322	16.0	48.4	0.8768	3.2	14.1	178	135
1333	989	885	1621	1194	14.5	57.8	0.9456	2.1	10.3	129	121
1262	911	948	1545	1062	13.1	64.2	0.9606	1.7	8.3	95	99
1287	936	918	1606	1040	12.0	69.7	0.9735	2	8.9	126	106
1134	840	1021	1501	917	11.9	71.1	0.9915	1.6	6.6	103	96
999	688	1229	1380	594	12.5	69.3	1.0029	0.9	3.6	48	63
913	525	1620	1260	370	12.5	66.8	0.9620	0.5	1.3	18	28
969	607	1373	1324	438	12.3	66.3	0.9487	0.7	2.3	56	61
1182	845	1054	1539	704	12.4	64.9	0.9332	1.5	6.7	115	99
1740	1372	671	2144	1476	13.0	61.6	0.9209	4.8	22.8	320	157
1819	1582	575	2456	1716	13.6	58.8	0.9120	6.2	31.3	357	166
1427	1275	701	1980	1398	13.9	57.1	0.9032	4	19.2	253	149
1390	1191	759	1879	1268	14.5	54.4	0.8917	3.3	16.4	218	135
1283	1117	813	1751	1188	15.5	50.1	0.8744	2.8	14.0	192	127
1304	1157	793	1801	1171	16.1	47.6	0.8655	3	15.3	176	122
1364	1202	771	1875	1250	16.3	47.1	0.8640	3.3	16.7	198	135
1410	1268	724	1957	1344	16.4	47.5	0.8791	3.5	19.0	212	139
1476	1280	708	1955	1378	16.1	50.2	0.9094	4	19.4	249	147
1522	1320	690	2005	1435	16.0	50.7	0.9142	4.6	20.9	270	158
1442	1301	704	1952	1372	15.8	50.3	0.8989	4.1	20.2	231	146
1469	1344	677	1997	1471	15.5	50.6	0.8840	4.5	21.7	251	144
1467	1292	698	1942	1439	15.4	51.4	0.8956	3.9	19.8	210	138
1421	1202	748	1854	1429	15.2	53.1	0.9117	4	16.7	249	143
1175	945	904	1604	1081	14.7	57.6	0.9573	2.2	9.1	143	116
1215	912	948	1547	993	14.2	58.3	0.9380	2.1	8.3	127	109
1127	802	1064	1447	837	13.8	57.9	0.9085	1.7	5.8	104	92
1090	773	1105	1429	761	13.9	55.9	0.8842	1.6	5.2	86	83
1017	718	1182	1382	650	13.9	55.6	0.8765	1.3	4.1	74	81
956	661	1260	1351	518	13.6	55.1	0.8560	0.8	3.1	42	53
966	622	1317	1342	571	13.6	59.0	0.9129	0.8	2.5	63	67
1064	728	1161	1461	842	13.5	58.4	0.8960	1.1	4.3	115	91
1300	935	902	1623	1145	13.8	58.0	0.9083	2.1	8.9	170	113
1348	998	834	1689	1218	14.6	53.1	0.8765	2.4	10.5	147	102
1425	1068	776	1764	1341	15.0	52.3	0.8881	2.6	12.5	166	107
1474	1061	768	1768	1406	15.4	52.1	0.9046	2.8	12.3	195	113
1490	1039	782	1757	1422	16.3	50.0	0.9158	2.6	11.7	182	108
1495	1040	809	1735	1373	17.1	47.9	0.9281	2.6	11.7	168	105
1376	953	900	1636	1153	19.0	42.9	0.9370	2.1	9.3	125	93
1305	884	980	1573	927	19.5	42.3	0.9476	1.7	7.6	95	87
1283	844	1036	1539	766	19.5	42.3	0.9493	1.6	6.7	79	76
1392	967	930	1649	941	19.1	43.8	0.9556	2.1	9.7	119	94
1452	1063	856	1774	1146	18.5	46.3	0.9744	2.3	12.4	142	110
1633	1199	734	1919	1417	17.4	51.6	1.0159	3.5	16.6	215	136
1625	1191	733	1885	1442	17.1	51.3	0.9914	3.9	16.4	229	139
1535	1108	785	1820	1323	16.4	53.8	0.9964	3.3	13.7	206	125
1323	973	864	1712	1125	16.2	55.4	1.0132	2.3	9.9	147	111
1309	937	905	1672	1036	15.9	57.7	1.0356	2.1	8.9	122	97
1456	999	835	1714	1202	15.7	58.6	1.0396	2.8	10.6	175	107
1300	872	941	1577	1054	15.1	60.9	1.0398	2.1	7.4	133	90
1203	823	1004	1526	903	15.6	56.6	0.9951	1.6	6.2	89	84
1062	711	1136	1461	700	14.9	60.6	1.0196	1.1	4.0	55	66
947	594	1300	1390	580	14.5	63.0	1.0316	0.7	2.1	24	36
1065	687	1143	1492	815	14.2	66.2	1.0630	0.8	3.6	72	62
1155	734	1062	1528	1035	14.5	65.3	1.0704	1	4.4	122	91
1220	782	996	1560	1067	15.3	62.1	1.0730	1.4	5.4	111	89
1301	862	914	1633	1114	16.3	59.0	1.0868	1.7	7.1	123	93
1279	870	911	1646	1000	18.9	49.6	1.0700	1.8	7.3	106	81
1267	883	953	1617	906	19.4	46.1	1.0249	1.8	7.6	103	82
1239	848	981	1568	822	20.8	41.6	1.0091	1.9	6.8	102	80
1128	742	1144	1507	610	21.4	40.3	1.0126	1.3	4.6	48	48
1243	916	962	1669	657	21.2	39.3	0.9791	1.6	8.4	63	61
1208	853	1060	1506	647	20.3	38.0	0.8942	1.9	6.9	98	89
1306	938	961	1607	762	19.4	41.3	0.9206	2.3	9.0	132	105
1546	1151	769	1874	1122	18.5	43.8	0.9252	3.8	15.1	173	116
1501	1071	823	1744	1130	17.8	48.1	0.9689	3.5	12.6	185	119
1605	1153	769	1840	1637	17.9	46.9	0.9520	4.3	15.1	266	144
1316	974	883	1673	1272	17.4	49.1	0.9688	2.8	9.9	188	123
1195	898	933	1594	1098	17.0	51.7	0.9914	1.9	8.0	122	105
1211	896	920	1624	1066	16.4	55.1	1.0198	1.9	7.9	112	93
1161	815	995	1582	909	16.1	60.0	1.0919	1.7	6.1	93	86
1095	767	1050	1547	818	15.8	60.5	1.0805	1.5	5.1	74	76
897	563	1417	1355	472	16.3	57.0	1.0491	0.6	1.7	23	33
845	472	1786	1278	378	16.5	53.9	1.0049	0.3	0.7	15	23
942	586	1480	1373	432	16.4	54.0	0.9979	0.6	2.0	41	46
1090	768	1072	1538	699	15.7	57.6	1.0195	1.2	5.1	86	76
1514	1230	732	1996	1252	15.8	53.7	0.9571	3.6	17.7	226	116
1379	1252	711	1962	1237	17.4	42.1	0.8281	3.7	18.4	214	115
1074	854	1032	1484	772	17.9	38.4	0.7793	2	6.9	115	83
1090	868	1026	1509	766	18.5	36.7	0.7764	1.6	7.3	124	87
1110	964	947	1577	829	21.0	29.6	0.7263	1.9	9.6	122	90
1102	994	955	1599	783	21.3	28.1	0.7067	2	10.4	107	87
1100	1021	952	1607	822	21.3	26.1	0.6539	2.2	11.2	133	99
1094	1003	965	1574	813	21.3	26.8	0.6681	2.1	10.7	130	99
1076	1034	964	1544	813	21.3	24.2	0.6060	2.3	11.6	150	101
1152	1062	928	1606	850	20.2	28.5	0.6682	2.6	12.4	138	103
1407	1249	720	1932	1276	17.0	43.1	0.8264	3.8	18.3	213	129
1438	1325	678	1993	1401	15.6	47.4	0.8347	4.4	21.0	232	143
1425	1325	678	1965	1356	15.3	47.4	0.8178	4.5	21.0	238	146
1279	1131	775	1758	1243	14.5	49.7	0.8177	3.3	14.5	180	124
1132	916	920	1561	1083	13.9	52.0	0.8231	2	8.4	128	113
1006	729	1142	1370	795	14.5	49.4	0.8106	1.1	4.3	65	80
982	700	1204	1359	735	13.8	51.4	0.8071	0.9	3.8	53	72
969	636	1271	1309	684	14.0	51.3	0.8163	0.8	2.7	47	64
941	621	1298	1330	714	13.0	56.8	0.8444	0.7	2.5	51	70
834	459	1908	1212	361	8.8	80.5	0.9147	0.3	0.6	13	22
909	567	1542	1287	418	9.6	75.4	0.9004	0.5	1.8	33	47
1061	745	1178	1429	616	9.8	75.0	0.9093	1.1	4.6	103	88
1441	1124	851	1829	1089	10.0	74.2	0.9117	3	14.2	224	130
1498	1325	684	2095	1329	11.2	69.7	0.9232	3.8	21.0	244	132
1343	1185	760	1857	1311	12.0	62.9	0.8803	3.4	16.2	237	132
1308	1166	792	1794	1236	12.8	55.8	0.8210	3	15.5	220	131
1209	1097	837	1746	1147	13.1	54.8	0.8234	3	13.4	207	129
1310	1207	770	1847	1301	13.8	53.4	0.8351	3.5	16.9	208	132
1171	1064	881	1639	1097	16.0	42.4	0.7674	2.8	12.4	160	110
1112	980	924	1589	900	14.1	49.8	0.7971	1.9	10.1	131	99
1132	927	944	1570	781	12.0	61.1	0.8537	2	8.7	128	100
1225	1111	818	1719	1013	13.6	54.6	0.8465	3	13.8	176	122
1065	953	962	1514	790	13.7	49.5	0.7695	1.9	9.3	107	97
1236	1084	854	1688	1059	11.7	57.1	0.7822	2.7	13.0	131	112
1309	1126	812	1722	1205	11.5	58.2	0.7867	3.3	14.3	166	128
1089	884	1006	1487	975	12.6	54.2	0.7881	1.7	7.6	89	101
1000	776	1141	1375	896	12.0	54.9	0.7664	1.3	5.3	81	96
1041	782	1105	1425	911	11.0	61.4	0.8057	1.3	5.4	78	86
1045	756	1137	1411	902	11.1	62.2	0.8199	1.2	4.9	70	85
997	744	1151	1405	832	10.8	62.5	0.8082	1.1	4.6	76	79
948	634	1320	1326	715	11.3	60.0	0.8025	0.9	2.7	43	61
892	522	1572	1255	648	10.9	58.6	0.7628	0.6	1.2	34	54
954	561	1496	1255	612	10.8	57.2	0.7382	0.8	1.7	43	57
1045	751	1186	1403	800	10.4	59.2	0.7455	1.2	4.8	79	75
1383	1109	832	1706	1173	11.0	57.3	0.7501	3.1	13.8	174	97
1597	1395	652	2080	1519	11.2	56.9	0.7565	4.4	23.7	235	110
1318	1124	762	1770	1287	12.1	54.9	0.7734	3.4	14.2	218	113
1138	898	950	1505	966	15.1	44.3	0.7535	1.7	8.0	136	88
1098	842	1012	1440	828	15.6	40.6	0.7146	1.5	6.7	117	85
1118	927	959	1477	825	16.9	34.6	0.6597	1.7	8.7	119	96
1170	1009	879	1566	872	16.6	35.6	0.6697	2	10.8	126	106
1390	1028	829	1730	1002	9.6	81.1	0.9720	2.7	11.4	197	126
1353	1096	774	1783	1159	11.7	69.1	0.9497	2.8	13.4	195	130
1260	1050	828	1722	979	10.7	68.5	0.8794	2.7	12.0	156	111
1501	1302	681	2008	1311	10.7	67.3	0.8643	4.5	20.2	247	134
1273	1130	795	1744	1071	10.8	65.7	0.8486	3.5	14.4	190	136
1179	955	928	1571	899	10.3	66.3	0.8336	2.6	9.4	169	125
1047	809	1064	1435	766	10.1	66.9	0.8248	1.7	5.9	118	108
973	739	1186	1354	589	10.4	61.1	0.7717	1.3	4.5	81	87
997	737	1168	1341	631	10.3	59.9	0.7516	1.3	4.5	80	89
970	621	1400	1249	479	11.0	58.4	0.7686	1	2.5	42	58
902	568	1450	1253	479	9.1	68.1	0.7890	1	1.8	38	54
858	490	1707	1212	378	9.3	72.3	0.8496	0.5	0.9	18	28
878	457	1935	1158	344	9.9	66.8	0.8152	0.5	0.6	12	20
893	540	1604	1268	413	7.6	83.2	0.8695	0.6	1.4	43	51
1038	697	1260	1383	605	8.1	79.0	0.8544	1.1	3.8	84	82
1320	1035	902	1721	991	8.7	74.6	0.8429	2.7	11.6	184	112
1353	1235	740	1937	1175	8.6	75.1	0.8415	3.5	17.8	202	119
1133	933	969	1552	923	9.7	69.7	0.8389	2.3	8.8	133	99
1066	849	1039	1468	829	11.0	64.4	0.8447	1.6	6.8	130	98
1027	809	1081	1442	733	13.6	53.0	0.8209	1.3	5.9	106	88
1106	935	958	1570	819	14.2	48.4	0.7780	2	8.9	132	96
1038	907	976	1492	723	14.2	46.3	0.7438	1.9	8.2	106	81
1084	924	986	1501	786	16.0	41.3	0.7462	1.9	8.6	125	92
1105	982	939	1545	850	17.7	35.4	0.7094	2.2	10.1	138	105
1102	957	968	1527	820	17.1	37.4	0.7225	2	9.4	120	88
1240	1137	836	1748	991	14.9	40.5	0.6835	2.9	14.6	158	103
1443	1418	666	2060	1454	13.4	47.8	0.7293	5.2	24.6	253	141
1389	1341	692	1982	1488	12.6	52.5	0.7642	4.6	21.6	231	133
1183	989	904	1539	1205	12.2	53.2	0.7555	2.5	10.3	150	119
1014	798	1083	1376	909	10.6	56.1	0.7140	1.5	5.7	99	106
979	736	1154	1324	769	9.9	59.5	0.7276	1.2	4.5	75	92
1048	787	1098	1373	835	9.6	61.1	0.7323	1.7	5.5	93	97
1024	753	1131	1357	793	9.7	61.6	0.7425	1.4	4.8	79	91
974	690	1208	1313	733	9.4	62.6	0.7398	1.2	3.6	67	83
925	602	1398	1263	562	8.0	69.4	0.7459	0.7	2.2	45	59
952	654	1210	1312	832	7.7	72.4	0.7655	0.8	3.0	72	73
1005	713	1130	1363	924	8.0	71.8	0.7711	0.9	4.0	103	78
1122	842	1015	1438	974	8.5	66.3	0.7375	1.6	6.7	132	90
1351	1201	783	1828	1307	9.8	59.6	0.7214	3.4	16.7	239	110
1408	1278	682	1928	1481	11.2	57.0	0.7544	3.8	19.3	275	114
1304	1142	772	1747	1405	14.8	44.1	0.7407	3.1	14.8	232	119
1207	1098	826	1664	1195	16.8	35.3	0.6729	2.7	13.4	180	121
1099	1014	948	1503	868	19.2	27.1	0.5976	2	11.0	112	97
1106	1068	915	1535	874	19.1	26.2	0.5741	2.3	12.5	116	99
1009	916	1015	1391	738	16.3	30.8	0.5683	1.9	8.4	103	85
962	776	1152	1279	550	14.2	36.8	0.5922	1.3	5.3	89	75
1093	933	976	1454	777	13.4	41.0	0.6292	1.9	8.8	112	87
1180	1023	886	1588	966	14.2	43.3	0.6982	2.3	11.2	127	102
1168	1037	868	1580	990	12.1	45.6	0.6403	2.4	11.6	125	105
1168	1063	876	1540	944	10.4	48.0	0.6046	2.7	12.4	120	98
1140	1000	916	1490	962	10.0	51.1	0.6280	2.6	10.6	120	93
1001	811	1097	1308	778	9.8	50.8	0.6172	1.5	6.0	99	91
953	743	1185	1252	690	9.7	50.4	0.6063	1.2	4.6	79	85
972	715	1237	1258	644	9.9	50.2	0.6103	1.1	4.1	66	74
1021	776	1144	1307	753	9.4	53.4	0.6300	1.5	5.2	94	87
940	664	1290	1232	646	8.6	57.8	0.6488	1	3.2	70	79
1046	736	1142	1312	838	8.1	62.1	0.6746	1.2	4.5	75	78
915	578	1417	1212	665	8.2	58.9	0.6444	0.8	1.9	32	48
935	615	1373	1250	717	6.3	66.6	0.6410	0.9	2.4	54	59
976	669	1270	1266	795	7.2	62.9	0.6396	1.1	3.3	68	65
